Lineage,Country,Sample,Parameter,Mean,Median,LowHPD,UpHPD
Alpha B.1.1.7,England,20,tMRCA,2020.69,2020.693,2020.657,2020.717
Alpha B.1.1.7,England,50,tMRCA,2020.685,2020.688,2020.647,20202.713
Alpha B.1.1.7,England,100,tMRCA,2020.689,2020.692,20202.656,2020.714
Alpha B.1.1.7,England,20,growthRate,35.409,33.141,3.116,73.903
Alpha B.1.1.7,England,50,growthRate,24.363,23.854,6.839,44.673
Alpha B.1.1.7,England,100,growthRate,27.005,26.788,13.594,40.783
Delta B.1.617.2,England,20,tMRCA,2020.761,2020.767,2020.612,2020.912
Delta B.1.617.2,England,50,tMRCA,2020.773,2020.778,2020.63,2020.907
Delta B.1.617.2,England,100,tMRCA,2020.768,20202.772,2020.63,2020.893
Delta B.1.617.2,England,20,growthRate,3.531,3.47,-1.678,9.014
Delta B.1.617.2,England,50,growthRate,6.745,6.61,2.271,11.302
Delta B.1.617.2,England,100,growthRate,7.647,7.535,4.05,11.588
Delta B.1.617.2,India,20,tMRCA,2020.645,2020.65,2020.509,2020.776
Delta B.1.617.2,India,50,tMRCA,2020.606,2020.611,2020.46,2020.731
Delta B.1.617.2,India,100,tMRCA,2020.702,2020.706,2020.592,2020.8
Delta B.1.617.2,India,20,growthRate,7.247,7.09,2.791,12.267
Delta B.1.617.2,India,50,growthRate,5.693,5.628,2.473,8.802
Delta B.1.617.2,India,100,growthRate,8.544,8.492,5.467,11.794
Omicron BA.1,England,20,tMRCA,2021.83,2021.835,2021.784,2021.868
Omicron BA.1,England,50,tMRCA,2021.838,2021.842,2021.8,2021.867
Omicron BA.1,England,100,tMRCA,2021.824,2021.827,2021.777,2021.862
Omicron BA.1,England,20,growthRate,110.325,97.282,8.78,240.443
Omicron BA.1,England,50,growthRate,111.874,104.072,22.789,210.746
Omicron BA.1,England,100,growthRate,59.488,54.755,14.488,113.873
Omicron BA.1,South Africa,20,tMRCA,2021.823,2021.825,2021.801,2021.845
Omicron BA.1,South Africa,50,tMRCA,2021.82,2021.821,2021.798,2021.838
Omicron BA.1,South Africa,100,tMRCA,2021.814,2021.814,2021.794,2021.832
Omicron BA.1,South Africa,20,growthRate,212.722,206.803,42.929,378.185
Omicron BA.1,South Africa,50,growthRate,164.799,158.62,68.194,278.289
Omicron BA.1,South Africa,100,growthRate,139.741,136.216,80.882,206.742
Omicron BA.2,England,20,tMRCA,2021.927,2021.929,2021.917,2021.929
Omicron BA.2,England,50,tMRCA,2021.924,2021.927,2021.905,2021.929
Omicron BA.2,England,100,tMRCA,2021.924,2021.927,2021.908,2021.929
Omicron BA.2,England,20,growthRate,138.705,138.446,28.971,239.014
Omicron BA.2,England,50,growthRate,86.127,84.976,29.332,147.674
Omicron BA.2,England,100,growthRate,80.981,80.046,35.069,128.511
Omicron BA.2,South Africa,20,tMRCA,2021.81,2021.813,2021.757,2021.855
Omicron BA.2,South Africa,50,tMRCA,2021.829,2021.832,2021.785,2021.868
Omicron BA.2,South Africa,100,tMRCA,2021.814,2021.816,2021.765,2021.858
Omicron BA.2,South Africa,20,growthRate,52.75,49.884,16.873,95.665
Omicron BA.2,South Africa,50,growthRate,47.77,45.652,17.64,79.582
Omicron BA.2,South Africa,100,growthRate,27.654,27.351,15.968,39.821
Omicron BA.5,England,20,tMRCA,2022.133,2022.135,2022.069,2022.197
Omicron BA.5,England,50,tMRCA,2022.116,2022.12,2022.038,2022.187
Omicron BA.5,England,100,tMRCA,2022.106,2022.11,2022.027,2022.177
Omicron BA.5,England,20,growthRate,27.546,26.775,13.338,42.964
Omicron BA.5,England,50,growthRate,9.87,9.661,3.361,16.606
Omicron BA.5,England,100,growthRate,8.831,8.701,3.998,13.956
Omicron BA.5,South Africa,20,tMRCA,2022.024,2022.027,2021.965,2022.078
Omicron BA.5,South Africa,50,tMRCA,2021.998,2022.001,2021.923,2022.069
Omicron BA.5,South Africa,100,tMRCA,2021.953,2021.959,2021.861,2022.031
Omicron BA.5,South Africa,20,growthRate,41.338,40.265,18.714,64.513
Omicron BA.5,South Africa,50,growthRate,21.981,21.524,11.706,32.851
Omicron BA.5,South Africa,100,growthRate,18.096,17.921,11.594,25.051
Omicron BA.2.75,India,20,tMRCA,2022.255,2022.259,2022.184,2022.318
Omicron BA.2.75,India,50,tMRCA,2022.254,2022.257,2022.194,2022.306
Omicron BA.2.75,India,100,tMRCA,2022.252,2022.255,2022.189,2022.308
Omicron BA.2.75,India,20,growthRate,35.006,33.522,13.45,59.341
Omicron BA.2.75,India,50,growthRate,42.694,41.894,23.103,62.447
Omicron BA.2.75,India,100,growthRate,34.518,34.005,20.766,49.462
